list,list_idx,list_id,item_type,pv_modality,correct_response_pv,concept,property,item_id,wm_modality,wm_load,wm_instruction,correct_response_wm,son,sonb,image1,image2,image3,image1b,image2b,image3b
A,0,A_0,critical,au,True,BELL,chiming,62,au,1,You will hear 1 sound,Same,7.wav,7.wav,,,,,,
A,1,A_1,critical,vi,True,TIGER,striped,30,au,1,You will hear 1 sound,Same,9.wav,9.wav,,,,,,
A,2,A_2,critical,vi,True,CAULIFLOWER,pale,29,au,1,You will hear 1 sound,Same,4.wav,4.wav,,,,,,
A,3,A_3,critical,vi,True,TANK,camouflaged,28,au,1,You will hear 1 sound,Same,3.wav,3.wav,,,,,,
A,4,A_4,critical,vi,True,SUN,blinding,27,au,1,You will hear 1 sound,Same,6.wav,6.wav,,,,,,
A,5,A_5,critical,au,True,FIRE,crackling,66,au,1,You will hear 1 sound,Same,5.wav,5.wav,,,,,,
A,6,A_6,critical,au,True,ELEPHANT,trumpeting,65,au,1,You will hear 1 sound,Same,10.wav,10.wav,,,,,,
A,7,A_7,critical,au,True,CRY,piercing,64,au,1,You will hear 1 sound,Same,9.wav,9.wav,,,,,,
A,8,A_8,critical,au,True,PIG,grunting,63,au,1,You will hear 1 sound,Same,8.wav,8.wav,,,,,,
A,9,A_9,critical,vi,True,BLOOD,red,26,au,1,You will hear 1 sound,Same,7.wav,7.wav,,,,,,
A,10,A_10,critical,au,True,HORSE,neighing,61,au,1,You will hear 1 sound,Same,6.wav,6.wav,,,,,,
A,11,A_11,critical,vi,True,PUMPKIN,orange,25,au,1,You will hear 1 sound,Same,1.wav,1.wav,,,,,,
B,0,B_0,critical,vi,True,VARNISH,shiny,36,au,3,You will hear 3 sounds,Same,40.wav,40.wav,,,,,,
B,1,B_1,critical,vi,True,FIRE,smoking,35,au,3,You will hear 3 sounds,Same,39.wav,39.wav,,,,,,
B,2,B_2,critical,au,True,OWL,hooting,67,au,3,You will hear 3 sounds,Same,40.wav,40.wav,,,,,,
B,3,B_3,critical,au,True,BLENDER,noisy,68,au,3,You will hear 3 sounds,Same,38.wav,38.wav,,,,,,
B,4,B_4,critical,au,True,MOTORBIKE,backfiring,69,au,3,You will hear 3 sounds,Same,36.wav,36.wav,,,,,,
B,5,B_5,critical,au,True,SHEEP,bleating,70,au,3,You will hear 3 sounds,Same,33.wav,33.wav,,,,,,
B,6,B_6,critical,au,True,WHISPER,audible,71,au,3,You will hear 3 sounds,Same,34.wav,34.wav,,,,,,
B,7,B_7,critical,vi,True,MAGAZINE,colorful,34,au,3,You will hear 3 sounds,Same,38.wav,38.wav,,,,,,
B,8,B_8,critical,au,True,FANFARE,trumpeting,72,au,3,You will hear 3 sounds,Same,37.wav,37.wav,,,,,,
B,9,B_9,critical,vi,True,CANDLE,bright,32,au,3,You will hear 3 sounds,Same,36.wav,36.wav,,,,,,
B,10,B_10,critical,vi,True,SAIL,blown,31,au,3,You will hear 3 sounds,Same,35.wav,35.wav,,,,,,
B,11,B_11,critical,vi,True,CLOUD,white,33,au,3,You will hear 3 sounds,Same,37.wav,37.wav,,,,,,
C,0,C_0,critical,vi,True,BOOMERANG,angled,8,vi,1,You will see 1 image,Same,,,e.bmp,,,e.bmp,,
C,1,C_1,critical,vi,True,BRICK,rectangular,9,vi,1,You will see 1 image,Same,,,6.bmp,,,6.bmp,,
C,2,C_2,critical,vi,True,CELLAR,dark,10,vi,1,You will see 1 image,Same,,,f.bmp,,,f.bmp,,
C,3,C_3,critical,vi,True,SKY,blue,11,vi,1,You will see 1 image,Same,,,7.bmp,,,7.bmp,,
C,4,C_4,critical,vi,True,CEMENT,gray,12,vi,1,You will see 1 image,Same,,,8.bmp,,,8.bmp,,
C,5,C_5,critical,vi,True,JEWELRY,golden,7,vi,1,You will see 1 image,Same,,,5.bmp,,,5.bmp,,
C,6,C_6,critical,au,True,RADIO,heard,43,vi,1,You will see 1 image,Same,,,1.bmp,,,1.bmp,,
C,7,C_7,critical,au,True,LAUGHTER,booming,44,vi,1,You will see 1 image,Same,,,a.bmp,,,a.bmp,,
C,8,C_8,critical,au,True,TELEVISION,thunderous,47,vi,1,You will see 1 image,Same,,,3.bmp,,,3.bmp,,
C,9,C_9,critical,au,True,SNORING,loud,45,vi,1,You will see 1 image,Same,,,2.bmp,,,2.bmp,,
